Title,Context,Locations,Latitude,Longitude
Krewe du Vieux 2018: Take a virtual tour of the route with King Richard Campanella,"This area formed the heart of the plantation of Bernard Xavier Philippe de Marigny de Mandeville, who lived in a mansion where the electrical substation now stands. Expecting that the Louisiana Purchase would spur urban expansion, Marigny had his parcel subdivided for urbanization in 1805, hiring French engineer Nicolas de Finiels to design a plat. Finiels successfully reconciled an extension of the French Quarter street grid with a sharp bend of the Mississippi River by reshaping key connector squares into polygons of various configurations, which surveyor Barthelemy Lafon then laid out in 1806. The first neighborhood downriver from the city proper, the Faubourg Marigny soon developed into a predominantly Creole community, including substantial numbers of both Free People of Color, as well as enslaved African Americans and German, Irish and other immigrant populations. A century later, these riverfront blocks hosted a variety of light industrial land uses worked by the neighborhood’s blue-collar residents. The four blocks surrounding this intersection were occupied in the early 1900s by rice mills, an ice plant, horse and mule stables, a yarn and hosiery factory and a streetcar barn; the streets themselves were paved in granite stones. Originally named Rue d’Enghein, the street was later called Lafayette and then Almonaster before finally being named Franklin. This avenue marked the lower limit of the Marigny Plantation and of the original faubourg, despite that current perception places the neighborhood’s lower border at Press Street. The area below Franklin was subdivided after 1810 as the Faubourg D’Aunoy and soon developed a similar cultural milieu as its neighbor. The imposing lavender building overlooking the Chartres/Franklin intersection was once a Methodist church, and the restaurant across the street is said to incorporate circa-1790s structural elements from the D’Aunoy plantation complex. Royal Street heading upriver: This stretch of Royal Street, formerly Rue Casa Calvo, is quintessential Faubourg Marigny. Of particular interest is 2231 Royal, a one-of-a-kind 1830s townhouse with a central carriageway and raised basement, as well as the two solid circa-1850s Greek Revival structures on either side of the Elysian Fields intersection. Royal Street was the return route of the “streetcar named Desire,” after it rolled down Bourbon and Dauphine streets to Desire Street in present-day Bywater. Electricity for the streetcar system in these lower neighborhoods came from the brick edifice at the foot of Elysian Fields, known in the early 1900s as the New Orleans Railways and Light Company Claiborne Power House. Years before the Marigny family came into possession of this land, it was owned by Claude Joseph Villars Dubreuil, a French colonial builder in constant need of lumber. In the 1740s, Dubreuil had a diversion canal excavated from the levee through the center of his parcel, to power a sawmill with the flow of river water. Dubreuil’s canal later became the Marigny Canal, and when Finiels designed his street grid in 1805, he used this pre-existing axis to serve as the subdivision’s grand avenue, giving it great width, an adjacent park (Washington Square), and a lovely name, Champs-Élysées . In 1831, Elysian Fields became the right-of-way for the track bed of the Pontchartrain Railroad, the first to complete its charter west of the Appalachians. Known locally as “Smoky Mary,” the steam line operated until 1932. Royal Street at Washington Square: Into the 1960s, the river side of this block was home to Holy Redeemer Church, a black Catholic congregation worshipping in a circa-1860 edifice originally designed as the Third Presbyterian Church by architects Albert Diettel and Henry Howard. Next door, on the corner of Frenchmen Street, was a Carnegie Library built in 1902. All this changed when Hurricane Betsy utterly destroyed the church and damaged the library. Five years later, in 1970, the cleared lot became home to the Christopher Inn, a project of the Archdiocese’s nonprofit housing agency created by Archbishop Phillip Hannan for elderly congregants. The building’s large scale and International Style have raised the ire of historicists ever since, but the apartments provide affordable downtown living for senior citizens, many of whom grew up in the neighborhood and would otherwise be unable to live here.",['Dubreuil'],[-20.3000855],[57.6023555]
Turkey shells Syrian city as it pushes into Kurdish enclave,"BEIRUT (AP) � A Kurdish militia spokesman says Turkey has shelled a city in northeastern Syria as Turkish forces press into a Syrian Kurdish enclave for the fourth straight day. Nureddine Mehmud says Turkey fired on Qamishli and other towns along the Syrian-Turkish border on Tuesday, calling it a diversion from the main campaign by Turkey and allied Syrian militia forces to invade the Kurdish enclave of Afrin, along another part of the frontier. There were no reported casualties. Mehmud says forces from the People's Protection Units, or YPG, have held the Turkish forces from making ""any real progress"" in Afrin. The Britain-based Syrian Observatory for Human Rights Monitoring group says at 24 civilians, 24 Kurdish fighters, and 25 Turkish-backed Syrian militiamen have been killed in the clashes in Afrin since Saturday.","['Turkey', 'Syria', 'Afrin', 'Britain']","[38.9597594, 34.6401861, 36.5083795, 54.3151594]","[34.9249653, 39.0494106, 36.870089, -1.9181532]"
"A new development in Gainesville, Va., provides a taste of Charleston with a view of the Blue Ridge","Southern design Buy Photo : Exteriors are varying shades of brick; window frames are desert sand colored. “Color packages were developed strictly for this community,” Green-Karol said. “The style looks a little like the architecture in Charleston,” said Sue Barusefski, a resident since September. “They tried to bring in that Southern influence in the design.” The residences are three levels. Entrance doors are on the ground floor or lower level adjacent to the garage and lead to a clubroom that can be converted to a guest bedroom. A door opens to a brick-paved outdoor terrace and fenced back yard. Barusefski turned the lower level “into the office I always dreamed of,” she said. “There’s room for deep shelves, a big desk and a credenza. I put in a dry bar where I put my Keurig and a beverage fridge. This has definitely made it a place you can stay till you’re finished with what you’re doing.” The Garays, who have six grandchildren, use the lower level as a rec room. Only one has visited so far, Beth Garay said, but “I can assure you they’ll have lots of space to run around when they come.” Four floor plans — Jamison, Norbury, Granville and Somerville — are offered. The main differences are an option of an elevator and a transitional or contemporary kitchen. All plans offer at least one veranda, which is a covered porch with DuraDeck flooring. In the Jamison model, the kitchen and family room are on one end of the house and dining and living rooms are on the other end. In the Norbury model, the kitchen is centered between the family and breakfast rooms and the dining and living rooms. A 10-foot-long island dominates that kitchen. Three bedrooms, each with a bathroom, occupy the top floor. The owner’s suite walk-in closet is reached through the bathroom. The Norbury has a stand-alone tub. Community amenities : It is a gated community with 24-hour monitoring. Lake Manassas is a 770-acre public reservoir. “It’s a beautiful setting for the homes, and you can take an uplifting walk around the lake, though you can’t swim in the water,” said Barusefski. Residents can use a clubhouse, pool, tennis courts, multipurpose fields, playground and miles of trails. Robert Trent Jones Golf Club is a private membership club; Stonewall Golf Club is public. Shopping : The Shops at Stonewall offer Wegmans and Bed Bath & Beyond; Virginia Gateway offers Giant Food, Target and Best Buy; Haymarket Village Center houses Walmart and Kohl’s. Schools : Buckland Elementary, Ronald Wilson Reagan Middle, Patriot High. Transit : Turtle Point is a drive-in-and-out community, but residents can walk to Wegmans. “It makes me feel sometimes like we have a personal chef there,” said Barusefski. Amtrak and Virginia Rail Express (VRE) stop at Old Town Manassas, a 15-minute drive. Park & Ride service to the Vienna/Fairfax-GMU Metro station on the Orange line is available from Centreville, 12 miles away. Dulles International Airport is 22 miles away. 8024 Turtle Creek Cir., Gainesville, Va. There will be 70 townhouses ranging from $524,900 to $564,900. Twenty-five are sold. Builder : Basheer & Edgemoore. Features : All townhouses have a two-car garage with concrete driveway, brick walkway leading to the front door and covered entry. There’s gas heating and electric air-conditioning, a 65-gallon gas water heater and rough in for washer and dryer. The kitchen is outfitted with stainless-steel GE appliances, 42-inch maple cabinets, granite counters and a stainless-steel double bowl sink. All bathrooms feature ceramic tile floors. The master bathroom has a large shower. Wood shelving is hung in the master closet and kitchen pantry. Bedrooms/bathrooms : 3 to 4 / 3 to 4. Square footage : About 3,000. Homeowners association fee : $283 per month. View model : 11 a.m. to 5 p.m. Friday to Tuesday.","['Charleston', 'Norbury', 'Granville', 'Somerville', 'Manassas', 'Best Buy', 'Vienna', 'Fairfax', 'Gainesville', 'Va.']","[32.7884363, 51.4110663, 48.8376296, 42.3875968, 38.7509488, 40.0576439, 48.2083537, 38.8462236, 29.6519684, 41.903411]","[-79.9399309, -0.1224869, -1.5959177, -71.0994968, -77.4752667, -80.5985533, 16.3725042, -77.3063733, -82.3249846, 12.4528527]"
Laura Ingraham takes an Easter break amid David Hogg controversy and advertiser revolt,"Cleve R. Wootson Jr., The Washington Post March 31, 2018 2:36 pm. A few moments before wheels up on Laura Ingraham’s Easter vacation Saturday morning, she tweeted a preflight picture of a holiday-themed drawing made by one of her sons. It had all the Easter trappings: parishioners at an altar, a communion service complete with a chalice, a haloed figure flanked by angels, watching from above. “My seat-mate son drew me an Easter present preflight,” her accompanying tweet said. Ingraham told her Fox News show viewers on Friday that the trip is an Easter vacation. The network told The Washington Post the vacation was pre-planned. But the break comes as she is facing some of the harshest criticism so far on her five-month-old Fox News show – and a growing advertiser revolt around comments she made about David Hogg, a survivor of the , and activist. school shooting in Parkland, Florida The controversy revolves around her treatment of Hogg, one of the survivors of the shooting in February at Marjory Stoneman Douglas High School. Over the past few months, Hogg has emerged as one of the most vocal advocates for stronger gun laws. But amid the rallies and talk shows and a ballooning number of Twitter followers, he is also a high school senior who felt sad after getting a college rejection letter. In an interview with TMZ on Tuesday, Hogg spoke about receiving rejection letters from California colleges. Hogg has an SAT score of 1270 and a 4.2 grade-point average. He’s been accepted to Florida Atlantic University, California Polytechnic State University and California State University at San Marcos, TMZ reported. On Wednesday morning, Ingraham tweeted a story from a conservative news site that described Hogg as a “Gun Rights Provocateur” – and said he hadn’t gotten into four University of California schools he applied to. “David Hogg Rejected By Four Colleges To Which He Applied and whines about it,” Ingraham tweeted. “(Dinged by UCLA with a 4.1 GPA . . . totally predictable given acceptance rates.)” Hogg responded by compiling a list of 12 companies that advertise on Fox News’s “The Ingraham Angle” and sent a message to his nearly 700,000 Twitter followers: “Pick a number 1-12 contact the company next to that #” Many did. Shannon Watts tweeted “If you’re going to promote values, @Gillette, then you should stop being one of the main advertisers for Laura Ingraham’s show.” Blackbird Writes! tweeted “@AllstateYour advertising on #IngrahamAngleis associating your respectable brand with Laura Ingraham, who traffics in lies, bigotry and hatred. Consider me to never be your customer. @davidhogg111#boycottAllstate#BoycottIngramAdverts” More than a dozen advertisers have announced that they were pulling commercials from Ingraham’s show, according to ThinkProgress. They included Johnson & Johnson, Nestlé, Hulu, Jos. A. Bank, Jenny Craig, Ruby Tuesday and Miracle-Ear. Ingraham apologized, but Hogg blasted it as an insincere “effort just to save your advertisers.” The advertisers’ efforts to distance themselves demonstrate the influence the Parkland students have amassed and companies fears’ about becoming collateral damage in polarizing controversies. As The Washington Post’s Amy B Wang, Allyson Chiu and Tracy Jane reported: “The swift results showcase the power that the Parkland survivors have, not just in organizing rallies but in spurring corporate America to act. Brands, too, have become quicker to distance themselves from controversy, whether by denouncing white supremacy after neo-Nazis praise their products or by pulling their sponsorship after another Fox News personality, Bill O’Reilly, was accused of sexual harassment. “Since the 2016 election, calls to boycott retailers have become frequent: The #GrabYourWallet campaign began as a way to protest Trump, and it identified companies that carried merchandise bearing the Trump name. Those calls have been met with equally passionate responses by Trump supporters who say they are determined to use their buying power to stand with the president and his family.” But Hogg and the other Parkland teens have also show a willingness to go after their detractors directly. “I just think it’s a testament to the sick immaturity and broken state of our government when these people feel the need to peddle conspiracy theories about people that were in a school shooting where 17 people died, and it just makes me sick,” Hogg told BuzzFeed News. “It’s immature, rude and inhuman for these people to destroy the people trying to prevent the death of the future of America because they won’t.” And he had some specific thoughts on Ingraham’s vacation. Around midnight Friday, he posted a video clip of Ingraham’s announcement. “Have some healthy reflections this Holy Week,” he tweeted.","['Parkland', 'Florida', 'California', 'San Marcos', 'America']","[26.3100794, 27.7567667, 36.7014631, 29.8826436, 39.7837304]","[-80.23727, -81.4639835, -118.755997, -97.9405828, -100.445882]"
Perm Secretary Launches Book for Africa’s Development,"Former Permanent Secretary, Federal Ministry of Information Communication Technology, Abuja, Dr. Tunji Olaopa, has launched his book, Transforming the African Public Service, for the development and intervention of Nigeria and Africa as a whole. This book is much-needed and timely intervention in the plethora of possible initiatives that are vital for development in Africa. The reviewer, Professor Toyin Falola said. The writer offers readers several constructive pathways to dissect the problems of development, as well as more organic means for sustaining improvement in the civil service beyond clichéd, recycled ideas and nostrums. Indeed, Olaopa’s book expounds the underlying structures, the ideological base, and the conceptual foundations on which the superstructure of the modern African project is being constructed in order to understand if the existing engine of government can support the dreams of Africa’s future or, in fact, impair them. The author clarifies that modernising the African public service requires, first, a critical investigation of its history. “Sufficient knowledge of the historical and social composition of the civil service empowers us to re-order the patterns of social behavior and political routines that can impel the process and habits of sustainable development”, the reviewer said. He added: “I have known Dr. Olaopa for a number of years in his capacity as a political theorist-cum-scientist, serious intellectual, career civil servant and consultant. He is a passionate Nigerian who is entirely committed to the production of the knowledge and insights that can galvanize growth and progress in Africa.” Falola described the author as a perceptive thinker, writer, and regular op-ed contributor in the Nigeria and international media fora. “Dr. Olaopa’s devotion to the project of building a modern Africa shines through every page of this book. In this collection, he profoundly interrogates the imperative of African development from an angle that tends to be overlooked when policy makers and pundits debate the optimistic facts and figures that serve as indices for gauging the future of the continent, namely, the civil service.” Now, he expressed further that at several crucial junctures in Africa’s history, from pre-colonial, colonial to postcolonial, and through the different phases of modernity and globalisation that “our culture has witnessed, Africa did not adequately establish the conditions of its socio-political processes of transition”, he said. According to him, the lack of an agenda for reforming the administrative structure of the inherited government to make it relevant to “our” social and historical processes has, consequently, seen African governmental systems perennially saddled by an administrative workforce trapped in the limbo of an undefined temporality. As mediators of the gulf between those who govern and those who are governed, the civil servants who are supposed to carry out administrative activities that facilitate development and communication activities have, in fact, contributed to widening the chasm between the parties with deleterious effects on the polity. Falola had said. Through the various phases of political instability Africa has faced, the reviewer told the audience that the civil service had been the administrative arm of the execution of insidious agendas. This legacy, one notes, still resonates through post-military and emerging democracies in Africa. Redressing the persistent problems warrants a radical rethinking that conjoins a philosophical analysis of our social history with tested and practical knowledge. Dr. Olaopa successfully mobilizes both to confront the procedural logjam and administrative disconnect in African civil service and the ways they have impeded democratic and civic initiatives. His work of critical intervention finds the inextricable and fundamental links between the activities of the civil service and the superstructure of Africa’s development. The Prof. says Olaopa’s skillfully marshals his scholarly interventions over the years, his professional experience, and his intellectual excellence to forge the new thinking and strategic approaches necessary to recreate the civil service in Africa. Hence, he concludes that the book, Transforming the African Public Service, is, therefore, a treasure trove for Africans, Africanists, scholars, citizens, policymakers, reformists, and everyone else seeking an understanding of the foundational paths to activating and maintaining the course of institutional flourishing in Africa.","['Abuja', 'Nigeria', 'Olaopa']","[9.0643305, 9.6000359, None]","[7.4892974, 7.9999721, None]"
Putin’s spokesman likens Weinstein accusers to prostitutes,"Russian President Vladimir Putin’s spokesman, dismissing accusations that a Russian legislator had sexually harassed female journalists, asked why the women stayed quiet all these months, arguing that similar complaints against Hollywood producer Harvey Weinstein were made by actresses who were effectively “prostitutes.” Dmitry Peskov says “they earned hundreds of millions of dollars, and after 10 years they say that Weinstein is bad,” according to Russia's Sputnik news service. He says “none of them went to the police, did not say ‘Weinstein raped me.’.. No! (they) wanted to earn $10 million.” “What’s the name of a woman who slept with a man for $10 million?"" he added. ""Maybe, I’m speaking crudely, she’s called a prostitute.” Pskov made his comments on a talk show hosted by the Russian Higher School of Economics, saying he was speaking personally and not on behalf of the Kremlin. He was addressing a sex scandal involving Leonid Slutsky, chairman of the foreign relations committee in Russia’s lower house of parliament. Slutsky was accused of sexual harassment by Dozhd (Rain) TV channel producer Daria Zhuk and BBC Russian Service correspondent Farida Rustamova, who filed complaints to the parliamentary ethics committee. ""If Slutsky assaulted this poor journalist where was she all this time? If he harassed you, why did you keep quiet? Why didn’t you go to the police? Why, after so much time has passed, did you go to the ethics committee instead,"" Peskov asked. The Russian independent trade Union of journalists wrote an open letter to the Duma calling for a condemnation of Slutsky after the ethics committee committee dismissed the accusations as unfounded. That in turn prompted several Russian news outlets, including Dozhd, RTVI, RBC, Kommersant, and Novaya Gazeta, to withdraw their journalists from any dealings with the legislator,","['Hollywood', 'Russia']","[34.0980031, 64.6863136]","[-118.329523, 97.7453061]"
News and notes from the NCAA women's Final Four,"Notre Dame's Arike Ogunbowale celebrates after making the game-winning basket during overtime against Connecticut in the semifinals of the women's NCAA Final Four college basketball tournament, Friday, March 30, 2018, in Columbus, Ohio. Notre Dame won 91-89. (AP Photo/Ron Schwane) COLUMBUS, Ohio (AP) — So how do they top that? The two national women’s semifinal games Friday night were packed with drama, lead-changes, emotion and huge shots that sent the games into overtime. Mississippi State’s Roshunda Johnson hit the tying 3-pointer with seven seconds left to take the first game into overtime. The Bulldogs then outlasted Louisville in OT to earn their second national title game berth in as many years. The second game saw perennial power UConn claw back time after time as the game wound down, only to lose it when Notre Dame’s Arike Ogunbowale’s hit a jumper from the corner with 1 second left. “I didn’t know it was going in, but it felt good,” Ogunbowale said. Whew! “Unbelievable,” Notre Dame coach Muffet McGraw said. “First time we’ve ever had two overtime games in the Final Four. I think just great basketball. Both games, hard fought battles and exciting for the fans.” The Irish — left with just seven scholarship players due to injuries — advance to their sixth national championship game and fifth in the last eight years. They were national champions in 2001. “I think the coaches really prepared us for the moment,” Notre Dame star Jackie Young said. “They didn’t let us get all hyped up whenever we had a lead. I think we were able to keep our composure and just get the job done.” Most of the Mississippi State team ended up in Victoria Vivians’ hotel room watching the rowdy end of the Notre Dame-UConn game. “It was pretty phenomenal,” said Vivians, an All-American guard who had 25 points against Louisville. “And I feel like tomorrow you have two great teams playing again. They both played in overtime last night, and we both know what to expect. I feel like it’s going to be a great game to watch.” KOBE IN THE HOUSE: Kobe Bryant was there Friday night to watch the UConn women but spread a little love to admirers. Vivians was bold enough to ask for “I was very excited,” she said Saturday. “I just walked up and said, ‘can I take a picture?’ He said good game, and when he said that I almost passed out. He was actually watching me out there! It was amazing.” Bryant even after her game-winning shot. tweeted at Ogunbowale “Big time shot Arike! We are a @UConnWBB family but we love seeing great players making great plays,” Bryant tweeted. Ogunbowale tweeted back: “Wow, my life is complete.” But Bryant wasn’t done yet: “Nah… it’s complete by finishing the job on Sunday.” The NBA great later followed Ogunbowale on Twitter. BIG VS. REALLY BIG: Teaira McCowan is Notre Dame’s problem now. Mississippi State’s 6-foot-7 center continued her NCAA Tournament dominance on Friday, scoring 21 points and grabbing 25 rebounds against Louisville. When she got her 24th of the game, McCowan broke the rebounding mark set by Charlotte Smith of North Carolina in 1994. She posted just the third 20-20 game in women’s Final Four history. Her 92 rebounds are the most ever in a single tournament. Notre Dame’s Jessica Shepard (6-foot-4) and Kathryn Westbeld (6-foot-2) will be charged with trying to keep McCowan in check on Sunday. “She is a force inside, a tremendous player,” McGraw said. “Works the boards like nobody I’ve ever seen. She’s a tremendous rebounder, a phenomenal player inside. She’s so dominant. We haven’t faced anybody like that.” TIP-INS: The Irish need 85 points in the championship game to tie the all-time record for most points in an NCAA Tournament. The record — 547 — was set by UConn in 2000…. Young’s 32 points were the most by a Notre Dame player in a Final Four game. … Mississippi State is the seventh program to play for back-to-back NCAA title games. … Mississippi State started the game against Louisville 0 for 10, then made 25 of its final 52 shots. Follow Mitch Stacy at","['Connecticut', 'Columbus', 'Ohio', 'COLUMBUS', 'Mississippi State', 'Louisville', 'OT', 'UConn', 'Mississippi State’s', 'North Carolina']","[41.6500201, 39.9622601, 40.2253569, 39.9622601, 33.4386876, 38.2542376, -18.5464046, 41.8217576, 32.3038186, 35.6729639]","[-72.7342163, -83.0007065, -82.6881395, -83.0007065, -88.7943232, -85.759407, 17.1019606, -72.2427754, -90.1820767, -79.0392919]"
Pope in Easter Vigil to baptize Nigerian migrant-hero,"Pope Francis is celebrating the solemn Easter Vigil service in St. Peter's Basilica, during which he will baptize eight adults into the Catholic faith, including a Nigerian migrant-turned-hero. Francis processed in silence down the darkened central aisle of the basilica, led only by a single candle and blue floor lights that gave the scene a mystical air. The late-night service is the most solemn in the liturgical calendar, leading up to the joyful Easter Sunday Mass when Christians mark the resurrection of Christ. During the service, Francis will welcome into the faith eight adults, including a Nigerian migrant hailed as a hero for helping stop a thief until police arrived. In preparing for his baptism, he reportedly asked the Rome police captain who handled his case to be his godfather.","[""St. Peter's"", 'Rome']","[45.6560326, 41.8933203]","[-60.875068, 12.4829321]"
Muscat Film Festival ends amid fanfare,"Muscat: The 10th Muscat International Film Festival (MIFF) came to a close amid much fanfare on Saturday. Among the attendees were Bollywood actress Manisha Koirala, director Ali Badrakhan, actor Dawood Hussain, actresses Fakhriya Khamiss and Zahra Arafat, among several others. The audience was regaled by performances from the likes of singer Maher Zain, oudist Zaid Al Harbi, flautist Kitaro, and band Watasimu. The red carpet was rolled out at 6.30pm, as eager audiences and stars began pouring into the venue. However, the ceremony got underway at 8pm. The event started with the Omani national anthem. The evening witnessed a speech by Oman Film Society president Mohammad Al Kindi. There was also a performance by a folk band from Salalah. After the performances, the awards ceremony got underway. . This included both honoree awards and MIFF cinema awards.","['Bollywood', 'Salalah']","[47.3493507, 17.0174945]","[-1.7184227, 54.1010923]"
Barr cites conspiracy theory in support of Trump Actress Roseanne Barr threw Twitter off the rails late Friday after she tweeted her support of a right-wing conspiracy theory.,"Actress Roseanne Barr threw Twitter off the rails late Friday after she tweeted her support of a right-wing conspiracy theory. ""President Trump has freed so many children held in bondage to pimps all over this world. Hundreds each month. He has broken up trafficking rings in high places everywhere. notice that. I disagree on some things, but give him benefit of doubt-4 now,"" she tweeted. The theory, known as ""The Storm,"" is believed to have started after Trump cryptically remarked during a photo op with military leaders and their spouses before a White House dinner last October that reporters were seeing the ""calm before the storm."" White House press secretary Sarah Sanders declined to elaborate the next day on what the President meant. President Trump has freed so many children held in bondage to pimps all over this world. Hundreds each month. He has broken up trafficking rings in high places everywhere. notice that. I disagree on some things, but give him benefit of doubt-4 now. Roseanne Barr (@therealroseanne) and others have explained, alleges that high-profile Democrats and other famous people are involved in child sex-trafficking rings, and that Trump is breaking them up and arresting those involved in their operation. The theory has been traced to the online message board 4Chan, where an anonymous user known as ""QAnon,"" or simply ""Q,"" has propagated the theory Twitter users concerned about Barr's involvement in such theories quickly pointed to past tweets by her that would further explain her involvement in the theory. In November, Barr tweeted, ""Who is Q?"" The Daily Beast reported. The actress added hours later, ""tell Qanon to DM me in the nexxt 24 hours."" After her tweet Friday, many Twitter users took to the platform to proclaim their confusion, including New York Times White House correspondent Maggie Haberman, who simply tweeted ""What?"" Barr re-entered the spotlight this week after Trump revealed that he called to congratulate her on the highly successful reboot of the show, ""Roseanne,"" an ABC sitcom about a blue-collar family in Illinois originally broadcast in the late 1980s and 1990s. Barr, who is a supporter of Trump in the new series and in real life, has recently embraced several fringe conspiracy theories, according to The Daily Beast , including the one she tweeted about Friday, which is part of a larger conspiracy theory that alleges satanism and sex-trafficking by Trump's opponents. The-CNN-Wire & © 2018 Cable News Network, Inc., a Time Warner Company. All rights reserved. Copyright 2018 Scripps Media, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.",['Illinois'],[40.0796606],[-89.4337288]
